Preventative Maintenance ID,Preventative Maintenance Number,Preventative Maintenance Description,Preventative Maintenance Instruction,Preventative Maintenance Safety Note,Frequency Type ID,Frequency,Frequency Type Or ID,Frequency Or,Is Hierarchy,Is Triggered,Is Fixed,Is Standard,Lead Time Days,Asset Type ID,Manufacturer ID,Model Number ID,Priority ID,Estimated Duration Hours,Job Type ID,Department ID,Customer Contact ID,Supplier Contact ID,Is Inspection,Is Inspection Enforce Order On,Is Inspection By Asset Type,User Defined Text Box,Component Code ID,Estimated Labour Cost,Estimated Material Cost,Estimated Other Cost,Is Active,Created By Contact ID,Created Date Time,Modified By Contact ID,Modified Date Time,Default Inspection Asset ID,Is Group Inspection,Parent Preventative Maintenance ID,Inspection Height,Inspection Width,Inspection XLocation,Inspection YLocation,Is Use Asset Contractor,Minute Difference,Is Master PM,Master PMID,Work Order Format Name,Contractor Quote Amount,In Active To,Days To Complete,Activation Type,Is Audit,Is Include Children Of Inspection Asset Only
182,355, Earth Brush 1 yearly preventive maintenance inspection ,,use ppe,9,1.0000000,,0.0000000,,,,,2,,,,3,8.0000000,5,20,,,,,,,,48.0400000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1186,8/10/2023 3:58:08 PM,,,0,,,,,,570,,0,Standard,0.0000000,,30,every,,
183,352,Lightning Protection predictive maintenance inspection ,mERGED WITH YEARLY pm-351,Use proper PPE,9,1.0000000,,0.0000000,,,,,0,,,,3,16.0000000,5,16,,,,,,,,81.3600000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,29/07/2023 10:31:47 AM,,,0,,,,,,510,,0,Standard,0.0000000,,5,every,,
184,350,Greasing activity of LV motor bearing 8640 hours replacement,,,3,8640.0000000,,0.0000000,,,,,0,,,,3,0.0000000,5,34,,,,,,,,0.0000000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1465,30/12/2022 3:35:39 PM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
185,373, Firepump Electrical Check 1 Monthly preventive maintenance inspection ,merged as a 6 monthly,Use PPE,4,1.0000000,,0.0000000,,,,,5,,,,3,6.0000000,5,20,,,,,,,,29.7000000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,29/07/2023 9:38:41 AM,,,0,,,,,,570,,0,Standard,0.0000000,,5,every,,
186,315,Greasing activity of LV motor bearing 3000 hours replacement,,,3,3000.0000000,,0.0000000,,,,,0,,,,3,0.0000000,5,34,,,,,,,,0.0000000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1465,30/12/2022 3:35:34 PM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
187,311,Greasing activity of LV motor bearing 2000 hours replacement,,,3,2000.0000000,,0.0000000,,,,,0,,,,3,0.0000000,5,34,,,,,,,,0.0000000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1465,30/12/2022 3:35:22 PM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
188,277,Cathodic protection 3 monthly preventive maintenance inspection,PTW should be achieved,Use proper PPE,4,3.0000000,,0.0000000,,,,,2,,,,3,9.0000000,5,16,,,,,,,,66.0300000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,31/10/2023 12:14:27 PM,,,0,,,,,,510,,0,Standard,0.0000000,,30,every,,
189,276,TCP 1 monthly preventive maintenance LLF,,,4,1.0000000,,0.0000000,,,,,10,,,,3,4.0000000,8,16,,,,,,,,32.2400000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,25/02/2023 2:09:31 PM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
190,275,Check Battery of AC UPC ,PTW should b achieved,Use proper PPE,9,1.0000000,,0.0000000,,,,,0,,,,3,0.0000000,5,16,,,,,,,,32.2400000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,17/04/2023 10:20:54 AM,,,0,,,,,,510,,0,Standard,0.0000000,,0,every,,
191,274,Check Capacitor of AC UPC ,,,9,1.0000000,,0.0000000,,,,,0,,,,3,8.0000000,5,16,,,,,,,,40.6800000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,17/04/2023 10:22:23 AM,,,0,,,,,,510,,0,Standard,0.0000000,,0,every,,
192,273,AC UPC 1 Yearly Preventeive Maintenance Inspection,,,9,1.0000000,,0.0000000,,,,,2,,,,3,12.0000000,5,16,,,,,,,,60.4800000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,17/04/2023 10:24:57 AM,,,0,,,,,,510,,0,Standard,0.0000000,,0,every,,
193,272,AC UPC Battery 1 Yearly Preventeive Maintenance Inspection,PTW should be achieved ,Use proper PPE,9,1.0000000,,0.0000000,,,,,2,,,,3,6.0000000,5,16,,,,,,,,20.3400000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,17/04/2023 10:27:13 AM,,,0,,,,,,510,,0,Standard,0.0000000,,0,every,,
194,271,AC UPC Battery Monthly Preventeive Maintenance Inspection,,,4,1.0000000,,0.0000000,,,,,2,,,,3,1.0000000,5,68,,,,,,,,0.0000000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,3/01/2023 11:30:25 AM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
195,270,AC/DC UPC and Battery Preventeive Maintenance LLF (month),,Use proper PPE,,0.0000000,,0.0000000,,,,,0,,,,3,0.5000000,8,68,,,,,,,,1.5550000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,28/02/2023 2:49:16 PM,,,0,,,,,,510,,0,Standard,0.0000000,,30,every,,
196,269,WO 1 yearly Preventive Maintenance inspection,PTW SHOULD BE ACHIEVED,Use proper PPE,9,1.0000000,,0.0000000,,,,,2,,,,3,8.0000000,5,16,,,,,,,,53.9199999,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,26/09/2023 9:56:46 AM,,,0,,,,,,510,,0,Standard,0.0000000,,0,every,,
197,268, Welding outlet 1 yearly Preventive Maintenance inspection,MERGED WITH pm-267,Use proper PPE,9,1.0000000,,0.0000000,,,,,2,,,,3,4.0000000,5,16,,,,,,,,20.3400000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,29/07/2023 10:37:02 AM,,,0,,,,,,510,,0,Standard,0.0000000,,0,every,,
198,267, Welding outlet 12 Months Preventive Maintenance LLF,PTW SHOULD BE ACHIEVEDMake sure the second side of cable disconnected,Use proper PPE,9,1.0000000,,0.0000000,,,,,2,,,,3,27.0000000,5,16,,,,,,,,3.1100000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,29/07/2023 10:37:15 AM,,,0,,,,,,510,,0,Standard,0.0000000,,0,every,,
199,266,Power capacitor bank panel 1 yearly preventive maintenance ,PTW should be achieved,Use proper PPE,9,1.0000000,,0.0000000,,,,,2,,,,3,12.0000000,5,16,,,,,,,,60.4800000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,17/04/2023 10:42:23 AM,,,0,,,,,,510,,0,Standard,0.0000000,,0,every,,
200,265,Power capacitor bank panel 1 daily preventive maintenance LLF ,,,1,1.0000000,,0.0000000,,,,,0,,,,3,0.5000000,8,68,,,,,,,,1.5550000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,4/01/2023 11:35:58 AM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
201,264,Normal Light  1 yearly preventive maintenance inspection ,PTW should be achieved,Use proper PPE,9,1.0000000,,0.0000000,,,,,2,,,,3,48.0000000,5,16,,,,,,,,241.9200000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,17/04/2023 10:46:54 AM,,,0,,,,,,510,,0,Standard,0.0000000,,7,every,,
202,263,Normal Light  6 monthly preventive maintenance inspection ,Wrong imported,Use proper PPE,4,6.0000000,,0.0000000,,,,,2,,,,3,26.0000000,5,16,,,,,,,,8.0600000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,29/07/2023 9:46:27 AM,,,0,,,,,,510,,0,Standard,0.0000000,,30,every,,
203,262,Normal Light  3 monthly preventive maintenance LLF ,Transferred to yearly,Use proper PPE,4,3.0000000,,0.0000000,,,,,2,,,,3,16.0000000,8,16,,,,,,,,53.9199999,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,29/07/2023 9:48:29 AM,,,0,,,,,,510,,0,Standard,0.0000000,,30,every,,
204,261,Normal Light  1 monthly preventive maintenance LLF ,Lighting fixture water inside should be cleaned and dried properly.,Use proper PPE,4,1.0000000,,0.0000000,,,,,15,,,,3,12.0000000,8,16,,,,,,,,720.0000000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,25/02/2023 2:04:43 PM,,,0,,,,,,510,,0,Standard,0.0000000,,0,every,,
205,260,Immersion Heater  1 yearly preventive maintenance inspection ,PTW should be achieved,Use proper PPE,9,1.0000000,,0.0000000,,,,,2,,,,3,12.0000000,5,16,,,,,,,,53.1200000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,29/07/2023 9:43:01 AM,,,0,,,,,,510,,0,Standard,0.0000000,,7,every,,
206,259,Immersion Heater  6 Monthly preventive maintenance  LLF,transferred to yearly,,4,6.0000000,,0.0000000,,,,,2,,,,3,80.0000000,8,16,,,,,,,,16.1200000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,29/07/2023 9:42:53 AM,,,0,,,,,,510,,0,Standard,0.0000000,,30,every,,
207,278,Cathodic protection 6 monthly preventive maintenance inspection,,Use proper PPE,4,6.0000000,,0.0000000,,,,,2,,,,3,12.0000000,5,16,,,,,,,,34.1200000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,8/08/2023 3:42:09 PM,,,0,,,,,,510,,0,Standard,0.0000000,,30,every,,
208,312,Greasing activity of LV motor bearing 8000 hours replacement,,,3,8000.0000000,,0.0000000,,,,,0,,,,3,0.0000000,5,34,,,,,,,,0.0000000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1465,30/12/2022 3:35:28 PM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
209,279,Cathodic protection 1 yearly preventive maintenance inspection,PTW should be achievedBe careful while working with MeggerTake note that lower,Use proper PPE,9,1.0000000,,0.0000000,,,,,2,,,,3,0.0000000,5,16,,,,,,,,26.5600000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,19/04/2023 8:31:07 AM,,,0,,,,,,510,,0,Standard,0.0000000,,0,every,,
210,281,DC UPC Battery Weekly Preventeive Maintenance LLF,,,8,1.0000000,,0.0000000,,,,,0,,,,3,0.5000000,8,68,,,,,,,,1.5550000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,4/01/2023 11:32:52 AM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
211,310,Greasing activity of LV motor bearing 12 monthly replacement,,,4,12.0000000,,0.0000000,,,,,0,,,,3,0.0000000,5,34,,,,,,,,0.0000000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1465,30/12/2022 3:38:25 PM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
212,308,Greasing activity of LV motor bearing 6 monthly or 3700 hour replacement,,,3,3700.0000000,4,6.0000000,,,,,0,,,,3,0.0000000,5,34,,,,,,,,0.0000000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1465,30/12/2022 3:35:16 PM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
213,307,Greasing activity of LV motor bearing 6 monthly replacement,,,4,6.0000000,,0.0000000,,,,,0,,,,3,0.0000000,5,34,,,,,,,,0.0000000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1465,30/12/2022 3:38:20 PM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
214,305,Greasing activity of LV motor bearing 3 monthly replacement,,,4,3.0000000,,0.0000000,,,,,0,,,,3,0.0000000,5,34,,,,,,,,0.0000000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1465,30/12/2022 3:38:14 PM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
215,304,Overhaul on the LV motor,Removed according to MOC,,9,2.0000000,,0.0000000,,,,,0,,,,3,0.0000000,5,16,,,,,,,,0.0000000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,29/07/2023 10:10:49 AM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
216,303,preventive maintenance inspection for LV motor (for submersible pump),removed according to MOC,,9,2.0000000,,0.0000000,,,,,0,,,,3,0.0000000,5,16,,,,,,,,0.0000000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,29/07/2023 10:10:22 AM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
