Account Code ID,Account Code Name,Account Code Description
18164,210110010000,Lab Equipment <$5000 USD
18165,210110020000,ICT Equipment <$5000 USD
18166,210110030000,Office & Pl.  Equip. <$5000 USD
18167,210110040000,Tools Equipment <$5000 USD
18168,210110050000,Office Equipment <$5000 USD
18169,210110060000,Other Equipment <$5000 USD
18170,210110070000,Comm Equipment <$5000 USD
18171,210507010000,License Fees Other
18172,220205180000,Cell Phone Rental and Charges
18173,220303010000,Legal Expenses
18174,220211010000,Vehicle Insurances
18175,220304010000,Audit External
18176,220304020000,Evaluation costs (acceptance on balance sheet)
18177,220312010000,Bank Charges General
18178,TBC1,Other expenses
18179,220314010000,Tashkent office land tax
18180,220314020000,Guzar district land tax
18181,220314030000,Nishan district land tax
18182,Old2,Old2
18183,210500000000,UNG TRAING COST - Welders
18184,220211080000,Accident Insurance(All Staff) 12% income tax
18185,220211090000,Health Insurance (All Staff) 12$ income tax top
18187,100000000002,TECHNICAL COST - Technical Cost
18188,100000000003,PRODUCTION COST - Production Cost
18189,100000000006,COMMERCIAL COST - Commercial Cost
18190,100000000005,FINANCIAL COST - Financial Cost
18191,100000000004,OTHER DEPARTMENT'S COST - Other department's Cost
18192,100000000007,PROJECT OFFICE COST - Project Cost
18193,0,0
18195,Old,Old
18196,220211060000,Compulsory Hazardous Industrial Facilities Laibili
18197,210614110045,Cold Box expenditures 
18198,210614130067,LTFT 1
18199,220211050000,Compulsory Employer's Liability
18200,100000000008,GENERAL AFFAIRS
18201,100000000010,Air Product Service Expences
18202,100000000011,Vehicle hire
18203,100000000012,Air Product Spares
18204,210501040001,Certification fees
18205,210502000005,Departmental Training
