Work Order Spare Description,Work Order Spare ID,Estimated Quantity,Estimated Unit Cost,Actual Quantity,Work Order ID,UOMDescription,Account Code Name,Account Code Description,Job Code Major Description,Employee WOSpares,Spares Comment
"70483730 - Quanding 53,64 x 2,62 mm, Kalrez 6375 / Кводринг",143,2.0000000,358.0224000,2.0000000,571,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483724 - O-ring D=31,34 x 3,53 mm, Kalrez 6375 / Уплотнительное кольцо",144,2.0000000,166.7864000,2.0000000,571,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"72459919 - Gasket SW, G 2045 x 1995 mm - CGI CS, / Проклакда Розетка Сварная",138,1.0000000,1303.9950000,1.0000000,571,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Oil Mobil DTE 10  Excel 32  / Масло,131,10.0000000,4.4515000,20.0000000,531,Litr,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
Oil Mobil DTE 10  Excel 32  / Масло,132,12.0000000,4.4515000,23.0000000,532,Litr,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
Oil Mobil DTE 10  Excel 32  / Масло,145,30.0000000,4.4515000,30.0000000,530,Litr,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
Oil Mobil DTE 10  Excel 32  / Масло,146,3.0000000,4.4515000,3.0000000,592,Litr,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
Наждачная бумага от 40 мм до 60мм.,852,1.0000000,6.3780000,1.0000000,597,Meter sq.,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Oil Mobil DTE 10  Excel 32  / Масло,148,4.0000000,4.4515000,4.0000000,598,Litr,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
Oil Mobil DTE 10  Excel 32  / Масло,149,1.0000000,4.4515000,0.0000000,600,Litr,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
Смазка пластичная универсальная WD-40 400 ml,150,0.2000000,6.7076000,0.0000000,607,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Смазка пластичная универсальная WD-40 400 ml,151,1.0000000,6.7076000,0.0000000,607,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Смазка пластичная универсальная WD-40 400 ml,152,1.0000000,6.7076000,1.0000000,603,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Oil Mobil DTE 10  Excel 32  / Масло,155,35.0000000,4.4515000,35.0000000,650,Litr,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
Oil Mobil DTE 10  Excel 32  / Масло,156,40.0000000,4.4515000,40.0000000,651,Litr,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
Oil Mobil DTE 10  Excel 32  / Масло,157,6.0000000,4.4515000,6.0000000,652,Litr,210109020000,Maintenance Rotating Services,Mechanical Rotating Spares,,
Смазка пластичная универсальная WD-40 400 ml,158,5.0000000,6.7076000,3.0000000,653,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"ФУМ-лента 19мм*15м*0,20мм",159,2.0000000,1.2843000,2.0000000,653,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Наждачная бумага от 0 мм до 20мм,160,1.0000000,4.7835000,1.0000000,653,Meter sq.,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Oil Mobil DTE 10  Excel 32  / Масло,161,20.0000000,4.4515000,20.0000000,656,Litr,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
Oil Mobil DTE 10  Excel 32  / Масло,162,25.0000000,4.4515000,25.0000000,669,Litr,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
Oil Mobil DTE 10  Excel 32  / Масло,163,35.0000000,4.4515000,35.0000000,670,Litr,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
Oil Mobil DTE 10  Excel 32  / Масло,164,25.0000000,4.4515000,25.0000000,678,Litr,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
Oil Mobil DTE 10  Excel 32  / Масло,165,9.0000000,4.4515000,9.0000000,706,Litr,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
Oil Mobil DTE 10  Excel 32  / Масло,166,7.0000000,4.4515000,7.0000000,707,Litr,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
Аргон баллон 50л,184,1.0000000,246.4484000,1.0000000,317,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Абразивный отрезной круг Т41 d 125*1,0*22мм",185,2.0000000,0.5581000,2.0000000,317,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Электроды сварочные УОНИ 13/55 д 4 мм,186,3.0000000,1.4871000,3.0000000,317,Kg,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"72459919 - Gasket SW, G 2045 x 1995 mm - CGI CS, / Проклакда Розетка Сварная",167,1.0000000,1303.9950000,1.0000000,729,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Электроды сварочные УОНИ 13/55 д 4 мм,168,1.0000000,1.4871000,1.0000000,429,Kg,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Диск для болгарки Milwaukee SCS 41/150x6,4",169,1.0000000,2.1596000,1.0000000,429,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483725 - O-ring D=34,52 x 3,53 mm, Kalrez 6375, / Уплотнительное кольцо",170,38.0000000,88.5960000,38.0000000,495,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483729 - O-ring D=81,92 x 5,33 mm, Kalrez 6375 / Уплотнительное кольцо",171,2.0000000,750.2857000,2.0000000,495,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483728 - O-ring D=72,62 x 3,53 mm, Kalrez 6375 / Уплотнительное кольцо",172,2.0000000,381.5054000,2.0000000,495,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483730 - Quanding 53,64 x 2,62 mm, Kalrez 6375 / Кводринг",173,4.0000000,358.0224000,4.0000000,495,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483724 - O-ring D=31,34 x 3,53 mm, Kalrez 6375 / Уплотнительное кольцо",174,2.0000000,166.7864000,2.0000000,495,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"72459919 - Gasket SW, G 2045 x 1995 mm - CGI CS, / Проклакда Розетка Сварная",124,1.0000000,1303.9950000,1.0000000,495,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Силиконовый компаунд MOLYKOTE 111 / Стойкий к озону, ультра-фиолетовому излучению и экстримальным температурам, Масло- и бензостойкий, Высокая термостойкость (до +315°С)",125,0.1000000,27.2847000,0.1000000,495,Kg,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Электроды сварочные УОНИ 13/55 д 4 мм,191,5.0000000,1.4871000,5.0000000,797,Kg,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Аргон баллон 50л,188,1.0000000,246.4484000,2.0000000,805,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Абразивный отрезной круг Т41 d 125*1,6*22мм",189,4.0000000,0.6000000,4.0000000,805,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Size: 8"" (Size: 200mm) Gasket, 316 SS RJ B16.20 CL1500 R OCTAGONAL",290,1.0000000,111.8120000,1.0000000,815,Each,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
"70483725 - O-ring D=34,52 x 3,53 mm, Kalrez 6375, / Уплотнительное кольцо",176,38.0000000,88.1314000,38.0000000,816,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483728 - O-ring D=72,62 x 3,53 mm, Kalrez 6375 / Уплотнительное кольцо",177,2.0000000,381.5054000,2.0000000,816,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483729 - O-ring D=81,92 x 5,33 mm, Kalrez 6375 / Уплотнительное кольцо",178,2.0000000,750.2857000,2.0000000,816,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483730 - Quanding 53,64 x 2,62 mm, Kalrez 6375 / Кводринг",179,4.0000000,358.0224000,4.0000000,816,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483724 - O-ring D=31,34 x 3,53 mm, Kalrez 6375 / Уплотнительное кольцо",180,2.0000000,166.7864000,2.0000000,816,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"72459919 - Gasket SW, G 2045 x 1995 mm - CGI CS, / Проклакда Розетка Сварная",181,1.0000000,1303.9950000,1.0000000,816,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
1.8N Sulfuric acidf (H2S04),219,1.0000000,0.0000000,0.0000000,824,Litr,210109110000,Instrumentation Services,Analyser Services,,
1.2 N Sodium hydroxide (NaOH) ,220,1.0000000,0.0000000,0.0000000,824,Litr,210109110000,Instrumentation Services,Analyser Services,,
TOC Standard solution 1300 ppm,221,1.0000000,0.0000000,0.0000000,824,Litr,210109110000,Instrumentation Services,Analyser Services,,
Oil Mobil DTE 10  Excel 32  / Масло,190,6.0000000,4.4515000,6.0000000,1944,Litr,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
Oil Mobil DTE 10  Excel 32  / Масло,92,10.0000000,4.4515000,18.0000000,261,Litr,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
Oil Mobil DTE 10  Excel 32  / Масло,93,3.0000000,4.4515000,8.0000000,284,Litr,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
Oil Mobil DTE 846 / Масло,197,20.0000000,4.9546000,0.0000000,74,Litr,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
"Калиброванные металлические пластины 0,4 мм",202,1.0000000,17.3618000,1.0000000,1957,Kg,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
"Калиброванные металлические пластины 0,5 мм",203,1.0000000,17.3618000,1.0000000,1957,Kg,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
"Калиброванные металлические пластины 0,7 мм",204,1.0000000,23.1491000,1.0000000,1957,Kg,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
"Калиброванные металлические пластины 1,0 мм",205,2.0000000,23.1491000,2.0000000,1957,Kg,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
"Калиброванные металлические пластины 2,0 мм",206,1.0000000,23.1491000,1.0000000,1957,Kg,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
"Калиброванные металические пластины 0,2мм/Metal plates calibrated",207,1.0000000,22.4314000,1.0000000,1969,Kg,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
"Калиброванные металические пластины 0,25мм/Metal plates calibrated",208,1.0000000,22.4314000,1.0000000,1969,Kg,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
"[VL8SCBNH02] Size 1"" (size-25mm) GLOBE VALVE FEML CS A105 13CR/HF (CoCr) TRIM CL 800 SWE RP DISC BB OS&Y- RS API-602 B16.11HW",214,1.0000000,0.0000000,0.0000000,1989,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
CH4 Methane,215,1.0000000,0.0000000,0.0000000,829,Litr,210109060000,Analyser Spares,Analyser Spares,,
CH4 Methane ,216,1.0000000,0.0000000,0.0000000,828,Litr,210109060000,Analyser Spares,Analyser Spares,,
CH4 Methane,217,1.0000000,0.0000000,0.0000000,826,Litr,210109060000,Analyser Spares,Analyser Spares,,
"Азот (N2) 6.0 (99,9999%) в баллоне 50л 200бар, соединение G3/4(DIN 9)",222,1.0000000,627.8583000,0.0000000,728,Each,210109060000,Analyser Spares,Analyser Spares,,
Span Calibration balloon,223,1.0000000,0.0000000,0.0000000,728,Meter cub.,210109060000,Analyser Spares,Analyser Spares,,
CH4 Methane,224,1.0000000,0.0000000,0.0000000,1990,Litr,210109060000,Analyser Spares,Analyser Spares,,
"70483725 - O-ring D=34,52 x 3,53 mm, Kalrez 6375, / Уплотнительное кольцо",226,38.0000000,88.5960000,38.0000000,2000,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483728 - O-ring D=72,62 x 3,53 mm, Kalrez 6375 / Уплотнительное кольцо",227,2.0000000,381.5054000,2.0000000,2000,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483729 - O-ring D=81,92 x 5,33 mm, Kalrez 6375 / Уплотнительное кольцо",228,2.0000000,750.2857000,2.0000000,2000,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483730 - Quanding 53,64 x 2,62 mm, Kalrez 6375 / Кводринг",229,4.0000000,358.0224000,4.0000000,2000,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483724 - O-ring D=31,34 x 3,53 mm, Kalrez 6375 / Уплотнительное кольцо",230,2.0000000,166.7864000,2.0000000,2000,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"72459919 - Gasket SW, G 2045 x 1995 mm - CGI CS, / Проклакда Розетка Сварная",231,1.0000000,1303.9950000,1.0000000,2000,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,233,10.0000000,0.1000000,10.0000000,2006,Pair,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483725 - O-ring D=34,52 x 3,53 mm, Kalrez 6375, / Уплотнительное кольцо",234,38.0000000,88.5960000,38.0000000,2006,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483728 - O-ring D=72,62 x 3,53 mm, Kalrez 6375 / Уплотнительное кольцо",235,2.0000000,381.5054000,2.0000000,2006,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483729 - O-ring D=81,92 x 5,33 mm, Kalrez 6375 / Уплотнительное кольцо",236,2.0000000,750.2857000,2.0000000,2006,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483730 - Quanding 53,64 x 2,62 mm, Kalrez 6375 / Кводринг",237,4.0000000,358.0224000,4.0000000,2006,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483724 - O-ring D=31,34 x 3,53 mm, Kalrez 6375 / Уплотнительное кольцо",238,2.0000000,166.7864000,2.0000000,2006,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"72459919 - Gasket SW, G 2045 x 1995 mm - CGI CS, / Проклакда Розетка Сварная",239,1.0000000,1303.9950000,1.0000000,2006,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Size: 12"" (Size: 300mm) Gasket, 316L SS WND GRAPH FILL CS I/R CS O/R RF B16.20 CL600 4.5MM thickness (3.2MM RING) Spiral Wound",1099,2.0000000,26.9275000,2.0000000,595,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
316L SS WND GRAPH FILL 316L SS I/R CS O/R RF B16.20 CL150 4.5MM THK (3.2MM RING) SPR WND Size20,1100,1.0000000,16.4400000,1.0000000,595,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483725 - O-ring D=34,52 x 3,53 mm, Kalrez 6375, / Уплотнительное кольцо",244,38.0000000,88.1314000,38.0000000,2033,Each,210109090000,Mechanical (Static) Services,Mechanical Services,,
"70483729 - O-ring D=81,92 x 5,33 mm, Kalrez 6375 / Уплотнительное кольцо",245,2.0000000,750.2857000,2.0000000,2033,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"72459919 - Gasket SW, G 2045 x 1995 mm - CGI CS, / Проклакда Розетка Сварная",243,1.0000000,1303.9950000,1.0000000,2033,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483728 - O-ring D=72,62 x 3,53 mm, Kalrez 6375 / Уплотнительное кольцо",248,2.0000000,381.5054000,2.0000000,2033,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483730 - Quanding 53,64 x 2,62 mm, Kalrez 6375 / Кводринг",249,4.0000000,358.0224000,4.0000000,2033,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483724 - O-ring D=31,34 x 3,53 mm, Kalrez 6375 / Уплотнительное кольцо",250,2.0000000,166.7864000,2.0000000,2033,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Паста для притирки (разм 2000, 100гр)/ Pasta for grinding",246,1.0000000,14.9542000,1.0000000,2010,Each,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
"Паста для притирки (разм 1200, 100гр)/ Pasta for grinding",247,1.0000000,14.9542000,1.0000000,2010,Each,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
"Gasket / Прокладка, спиральная тяжелая прокладка 316 Нержавеющая сталь, (t4.5 xO.D856 x I.D826)",254,1.0000000,251.5460000,1.0000000,2072,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
steam tracing,261,5.0000000,0.0000000,0.0000000,1886,Meter,210109110000,Instrumentation Services,Piping (Steam tracing),,
Смола эпоксидная Belzona 1111,304,1.0000000,0.0000000,0.0000000,2076,Kg,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Смола эпоксидная Belzona 1111,316,4.0000000,0.0000000,0.0000000,2076,Kg,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483725 - O-ring D=34,52 x 3,53 mm, Kalrez 6375, / Уплотнительное кольцо",273,38.0000000,88.5960000,38.0000000,2121,Each,210109090000,Mechanical (Static) Services,Mechanical Services,,
"72459919 - Gasket SW, G 2045 x 1995 mm - CGI CS, / Проклакда Розетка Сварная",268,1.0000000,1303.9950000,1.0000000,2121,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483728 - O-ring D=72,62 x 3,53 mm, Kalrez 6375 / Уплотнительное кольцо",269,2.0000000,381.5054000,2.0000000,2121,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483729 - O-ring D=81,92 x 5,33 mm, Kalrez 6375 / Уплотнительное кольцо",270,2.0000000,750.2857000,2.0000000,2121,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483730 - Quanding 53,64 x 2,62 mm, Kalrez 6375 / Кводринг",271,4.0000000,358.0224000,4.0000000,2121,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483724 - O-ring D=31,34 x 3,53 mm, Kalrez 6375 / Уплотнительное кольцо",272,2.0000000,166.7864000,2.0000000,2121,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Oil Mobil DTE 846 / Масло,297,10.0000000,4.9546000,10.0000000,2142,Litr,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
316L SS WND GRAPH FILL 316L SS I/R CS O/R RF B16.20 CL300 4.5MM THK (3.2MM RING) SPR WND Size24,305,1.0000000,22.4700000,1.0000000,2165,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"72459919 - Gasket SW, G 2045 x 1995 mm - CGI CS, / Проклакда Розетка Сварная",284,1.0000000,1303.9950000,1.0000000,2193,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
