Requisition ID,Requisition Number,Requisition Description,Required By Date Time,Approval Path ID,Raised Date Time
57,78,,14/02/2023 2:34:30 PM,33,14/02/2023 2:34:30 PM
58,80,For Purchase,15/02/2023 1:56:30 PM,33,15/02/2023 1:56:30 PM
59,82,UZGTL-CGM-PRO-07-10-0000-11-D in accordance with #1 for sampling and laboratory analysis from the specified device in Unit10,27/02/2023 2:07:02 PM,35,16/02/2023 2:07:02 PM
60,83,For use as PPE in the analysis of the central laboratory of the plant,27/02/2023 2:22:10 PM,35,16/02/2023 2:22:10 PM
61,95,For drum handling package(130-XP-009) and packaging materials,28/02/2023 11:30:01 AM,33,17/02/2023 11:30:01 AM
62,101,to ensure continuous operation of the pumps,17/03/2023 2:53:55 PM,33,17/02/2023 2:53:55 PM
63,102,to ensure continuous operation of the pumps (150-PC-002A/B),17/03/2023 3:05:55 PM,33,17/02/2023 3:05:55 PM
64,103,to ensure continuous operation of the pumps (150-PC-002A/B),17/03/2023 3:34:18 PM,33,17/02/2023 3:34:18 PM
65,104,to ensure continuous operation of the pumps (150-PC-002A/B),17/03/2023 3:54:57 PM,33,17/02/2023 3:54:57 PM
66,108,,20/02/2023 11:01:57 AM,36,20/02/2023 11:01:57 AM
67,111,Test,21/02/2023 9:50:31 AM,33,21/02/2023 9:50:31 AM
68,110,To ensure continius operation of analyzers,28/02/2023 11:14:27 AM,36,21/02/2023 11:14:27 AM
69,114,to ensure continious operation of UzGTL plant  ,15/03/2023 12:18:28 PM,34,21/02/2023 12:18:28 PM
70,117,To ensure a trainig course of Scaffolding,21/03/2023 12:29:58 PM,33,21/02/2023 12:29:58 PM
71,118,To ensure course of public speaking,21/02/2023 12:36:48 PM,36,21/02/2023 12:36:48 PM
72,112,Ishchi hodimlar ehtiyoji uchun (),10/03/2023 11:23:20 AM,36,21/02/2023 11:23:20 AM
73,120,to ensure continious operation of Unit 30 and 45 ,15/03/2023 3:30:38 PM,34,21/02/2023 3:30:38 PM
74,125,Regarding the hiring of welders through outsourcing department in order to ensure the stable operation of the plant's technological equipment,22/03/2023 2:27:02 PM,36,22/02/2023 2:27:02 PM
75,128,Regarding the hiring of welders through outsourcing department in order to ensure the stable operation of the plant's technological equipment,22/03/2023 2:50:17 PM,,22/02/2023 2:50:17 PM
76,127,The measurement of vibration,22/03/2023 2:44:15 PM,33,22/02/2023 2:44:15 PM
77,132,V-belt(Toothed)/клиновой ремень(зубчатый)/(174-XF-001-CB-01A/B)(171-XP-001-CB-01A/B)(176-XP-013-CB-01/02A/B)(171-XP-013-PX-08)(177-XP-006-CB-01A/B/C/D/E/F)(171-XP-001-CB-02A/B),31/03/2023 5:24:16 PM,33,22/02/2023 5:24:16 PM
78,134,cvbcv,23/02/2023 5:41:54 PM,33,23/02/2023 5:41:54 PM
79,135,vbnvbn,23/02/2023 5:44:07 PM,33,23/02/2023 5:44:07 PM
80,137,,24/02/2023 10:45:50 AM,,24/02/2023 10:45:50 AM
81,138,Ecology courses for HSE team,24/02/2023 3:53:06 PM,36,24/02/2023 3:53:06 PM
82,139,fvfv,28/02/2023 9:11:06 AM,,28/02/2023 9:11:06 AM
83,142,Zavod markaziy Laboratoriyasida tahlillar o'tkazish uchun,28/02/2023 10:50:15 AM,35,28/02/2023 10:50:15 AM
84,145,Welding consumables and goods required for maintenance welding works,28/03/2023 11:37:09 AM,,28/02/2023 11:37:09 AM
85,146,to covering unloaded perlite from Main Heat Exchanger of Unit 10,9/03/2023 3:01:27 PM,34,1/03/2023 3:01:27 PM
86,147,,3/03/2023 10:12:52 AM,,3/03/2023 10:12:52 AM
87,150,Work Shop Equipment ,3/04/2023 12:00:00 AM,33,3/03/2023 4:56:10 PM
88,151,160-XP-005-CB-02B-M Repairing burnt pump,17/04/2023 8:30:41 AM,33,6/03/2023 8:30:41 AM
89,153,,11/03/2023 1:50:34 PM,,11/03/2023 1:50:34 PM
90,157,In order to replace the broken transmitter (120-PDT-1070B) with a new one.,14/04/2023 4:32:59 PM,33,14/03/2023 4:32:59 PM
91,159,Spare Parts TECU 1 & 2,17/03/2023 4:45:00 PM,33,17/03/2023 4:45:00 PM
92,158,Mechanical Seals for ASU/SGU Rotating Equipment for normal operation,15/04/2023 2:01:49 PM,33,18/03/2023 2:01:49 PM
93,160,,23/06/2023 12:00:00 AM,33,23/03/2023 1:36:53 PM
94,161,,23/06/2023 1:51:40 PM,33,23/03/2023 1:51:40 PM
95,162,Requistion raised as per ORD-21/172-2022,23/06/2023 1:55:49 PM,33,23/03/2023 1:55:49 PM
96,163,"Providing necessary spare parts for the repair of control valves installed at the factory of ""Uzbekistan GTL"" LLC",1/06/2023 2:24:40 PM,33,1/04/2023 2:24:40 PM
97,164,,23/03/2023 2:24:40 PM,,23/03/2023 2:24:40 PM
98,166,Condition monitoring tools. ,24/03/2023 10:49:15 AM,35,24/03/2023 10:49:15 AM
99,171,,27/03/2023 4:32:28 PM,,27/03/2023 4:32:28 PM
100,174,Shurtan GKM dan olingan 40 % lik ishqor eritmasini 98% ishqor kukuni tarzida qaytarish uchun tovar-zaym shartomasini tuzish ,27/03/2023 5:25:56 PM,34,27/03/2023 5:25:56 PM
101,176,In order to recovery second 110-PC-071 LOX pump and for stock in the future,29/03/2023 10:39:42 AM,33,29/03/2023 10:39:42 AM
102,177,Zavod ehtiyoji uchun ,29/04/2023 3:16:15 PM,36,29/03/2023 3:16:15 PM
103,178,BIRLAMCHI O'T O'CHIRISH VOSITALARINI QAYTA ZARYADLASH ,17/04/2023 3:25:37 PM,36,29/03/2023 3:25:37 PM
104,184,Refractory materials for ATR & WHB,15/01/2024 11:02:43 AM,33,31/03/2023 11:02:43 AM
105,186,to modification of GRP pileline in unit 71,30/04/2023 2:17:54 PM,33,31/03/2023 2:17:54 PM
106,193,Insulation material for  ,31/03/2023 5:00:12 PM,33,31/03/2023 5:00:12 PM
107,194,Insulation material for plant maintenance  ,2/04/2023 9:25:10 AM,33,2/04/2023 9:25:10 AM
108,196,oil replacement of pumps,3/04/2023 9:55:39 AM,33,3/04/2023 9:55:39 AM
109,197,"Сыворотка против ядов змей ГЮРЗЫ, ЭФЫ, КОБРЫ. Сыворотка против яда паука КАРАКУРТА",3/04/2023 12:27:06 PM,36,3/04/2023 12:27:06 PM
110,199,to ensure without interruption work of Process Dryer package (135-XP-002) ,3/04/2023 12:41:40 PM,34,3/04/2023 12:41:40 PM
111,198,In order to maintain hermeticity and increase the coefficient of friction in PLFs' vibrator shaft and all o-ring mounted places.,3/05/2023 12:00:00 AM,33,3/04/2023 12:34:21 PM
112,200,Cluster Filter Assemblies sets for 130-VR-105/205 (FT reactors),29/12/2023 12:00:00 AM,33,3/04/2023 1:12:45 PM
113,201,Продление домена gtl.uz,3/04/2023 2:53:27 PM,36,3/04/2023 2:53:27 PM
114,202,Uzbekistan GTL Kerosine ni tahlil qilish uchun Rossiya ga pochta qilib jo'natish.,3/04/2023 3:23:00 PM,35,3/04/2023 3:23:00 PM
115,204,,3/04/2023 3:56:19 PM,34,3/04/2023 3:56:19 PM
116,207,Автошины для внедорожника,4/04/2023 1:56:07 PM,34,4/04/2023 1:56:07 PM
117,209,Routine use,4/05/2023 3:53:28 PM,33,4/04/2023 3:53:28 PM
118,210,Obtain smoke detectors for Jayron warehouse ,4/04/2023 4:11:11 PM,33,4/04/2023 4:11:11 PM
119,211,staem tracing spare parts for plant maintenance ,4/04/2023 4:21:35 PM,25,4/04/2023 4:21:35 PM
120,212,staem tracing spare parts for plant maintenance ,4/04/2023 4:27:32 PM,75,4/04/2023 4:27:32 PM
121,213,приобретение багета для обрамления офисных картин,4/04/2023 4:43:06 PM,36,4/04/2023 4:43:06 PM
122,214,Sanoat xavfsizligi deklaratsiyasini SX ekspertizasidan o'tkazish ,5/07/2023 9:38:43 AM,36,5/04/2023 9:38:43 AM
123,216,To test local activated carbon in Steam condensate polishing PKGs (172-XP-001/004),24/04/2023 12:35:48 PM,34,5/04/2023 12:35:48 PM
124,217,Grease for lubrication of rotating equipment,5/04/2023 2:08:46 PM,35,5/04/2023 2:08:46 PM
125,218,Zavod markaziy Laboratoriyasida tahlillar o'tkazish uchun,5/04/2023 5:31:13 PM,35,5/04/2023 5:31:13 PM
126,219,Uzbekistan GTL  zavodida Ekologik monitoring o'tkazish bo'yicha ,6/05/2023 1:36:59 PM,36,6/04/2023 1:36:59 PM
127,220,To ensure Preparation and submission of application forms for inventions and useful models and using database,6/04/2023 2:44:12 PM,35,6/04/2023 2:44:12 PM
128,221,Gaskets for 135-XF-021A/B (Sealing Materials),24/04/2023 4:49:41 PM,33,6/04/2023 4:49:41 PM
129,223,,6/04/2023 5:53:35 PM,,6/04/2023 5:53:35 PM
130,224,Epson Плоттер,6/04/2023 6:03:54 PM,33,6/04/2023 6:03:54 PM
131,225,Epson Плоттер,6/04/2023 6:20:34 PM,36,6/04/2023 6:20:34 PM
132,228,110-PC-071 Lox for rebuilding and assembling the pump,7/04/2023 10:38:39 AM,33,7/04/2023 10:38:39 AM
133,227,Orifice Plates for LTFT,1/04/2024 10:32:17 AM,33,7/04/2023 10:32:17 AM
134,229,to ensure continuous operation of the lingting fexture,1/06/2023 2:20:20 PM,33,7/04/2023 2:20:20 PM
135,230,For the purchase of a tricycle cargo bike and two wheel bike  to ensure the movement of an employee and an iron tool box on them,7/04/2023 2:27:59 PM,33,7/04/2023 2:27:59 PM
136,232,Seal ring for damaged 145-XV-0314 butterfly valve,14/04/2023 5:02:40 PM,,7/04/2023 5:02:40 PM
137,234,Серверный жесткий Диск NLSAS,10/04/2023 11:48:27 AM,36,10/04/2023 11:48:27 AM
138,236,For use in warehouse needs,11/05/2023 4:23:07 PM,33,10/04/2023 4:23:07 PM
139,235,To ensure continius operation of networking,10/04/2023 4:15:30 PM,35,10/04/2023 4:15:30 PM
140,239,Spare Main Flare Tip Assembly and Top davit for 181-RF-001,11/12/2023 2:21:16 PM,33,11/04/2023 2:21:16 PM
141,240,,12/04/2023 9:14:02 AM,26,12/04/2023 9:14:02 AM
142,242,"Запрос на закуп карточек формы Т-2, для регистрации сотрудников по законодательству Республики Узбекистан ",12/04/2023 2:45:57 PM,36,12/04/2023 2:45:57 PM
143,243,Maintenance of the magnetic bearing of the turbo expander-compressor and the control magnetic bearing of the cabinet,12/04/2023 2:53:08 PM,33,12/04/2023 2:53:08 PM
144,246,Специальная дорожная и строительная техника,12/04/2023 3:06:11 PM,34,12/04/2023 3:06:11 PM
145,248,to ensure without interruption work of Uzbekistan GTL LLC,28/04/2023 4:57:33 PM,34,12/04/2023 4:57:33 PM
146,249,Spare parts for butterfly valves installed LEAF filters,13/07/2023 1:30:57 PM,33,13/04/2023 1:30:57 PM
147,252,Система автоматического проезда автотранспортом в комплекте,14/04/2023 10:23:10 AM,36,14/04/2023 10:23:10 AM
148,251,to ensure without interruption work of Synthesis gas unit ,31/10/2023 10:01:14 AM,34,14/04/2023 10:01:14 AM
149,253,"обеспечение организации чёткой системы мониторинга качества и безопасности продукции в целях получения конкурентных преимуществ, минимизации расходов и возможности контроля каждого процесса",15/05/2023 11:25:58 AM,36,14/04/2023 11:25:58 AM
150,254,оказание услуг по перевозке пассажиров автомобильным транспортом,17/04/2023 12:06:15 PM,34,17/04/2023 12:06:15 PM
151,255,End Cover (TC Coated) for 130-PC-032,1/07/2023 10:18:13 AM,53,18/04/2023 10:18:13 AM
152,257,Усовершенствование автоматизированной системы управления кадровыми ресурсами «GTL-HRM»,18/04/2023 3:42:50 PM,38,18/04/2023 3:42:50 PM
153,258,To repair the steam leak ,28/04/2023 3:52:26 PM,33,18/04/2023 3:52:26 PM
154,260,Repair material for valve 110-LV-1301A and 110-LV-1301B.,18/05/2023 4:48:01 PM,33,18/04/2023 4:48:01 PM
155,265,NUJ larni xavfsizligini ta`minlash maqsadida,20/05/2023 12:00:00 AM,36,20/04/2023 2:52:51 PM
156,266,,20/04/2023 2:53:53 PM,28,20/04/2023 2:53:53 PM
157,268,"A stamp to ensure the quality, quantity, and safety of products loaded into rail cars",20/05/2023 4:17:02 PM,34,20/04/2023 4:17:02 PM
158,270,"Providing necessary spare parts for the repair of control valves installed at the factory of ""Uzbekistan GTL"" LLC",23/07/2023 1:46:16 PM,33,23/04/2023 1:46:16 PM
159,271,,25/04/2023 3:03:40 PM,36,25/04/2023 3:03:40 PM
160,273,Pipe diameter 100 mm Metering method: turbine Type,25/04/2023 4:16:39 PM,36,25/04/2023 4:16:39 PM
161,275,,25/04/2023 5:01:18 PM,,25/04/2023 5:01:18 PM
162,280,Прохождение обучения по управлению беспилотно-летательных аппаратов,26/04/2023 10:03:48 AM,36,26/04/2023 10:03:48 AM
163,283,description,26/04/2023 2:34:26 PM,36,26/04/2023 2:34:26 PM
164,281,Delivery of the cargo under the contract UzGTL-CON-3288,26/04/2023 2:18:23 PM,36,26/04/2023 2:18:23 PM
165,284,Счётчик для учёта холодный воды вахтового поселка,31/05/2023 12:00:00 AM,36,24/04/2023 12:00:00 AM
166,286,Signing a contract with the electronic project management center,26/04/2023 4:09:12 PM,38,26/04/2023 4:09:12 PM
167,285,Электрические приборы для вахтового поселка,31/05/2023 3:53:47 PM,36,26/04/2023 12:00:00 AM
168,288,Аппарат высокого давления для чистки и мойки автомобильной техники ,26/04/2023 5:36:53 PM,34,26/04/2023 5:36:53 PM
169,290,"Изучение экологического воздействия и влияния дизельного топлива GTL на окружающую среду, проведение соответствующих испытаний и получения международного заключения независимого экспертного органа, в соответствии с международными стандартами",27/04/2023 10:00:40 AM,36,27/04/2023 10:00:40 AM
170,291,Rechargeable batteries  for  UzGTL campus maintenance,27/04/2023 1:44:00 PM,33,27/04/2023 1:44:00 PM
171,293,Таблички для зданий,27/04/2023 4:28:25 PM,36,22/05/2023 4:28:25 PM
172,294,Товары для офиса (канцтовары и хозяйственные товары),27/04/2023 4:37:06 PM,36,10/05/2023 4:37:06 PM
173,296,to control pH in Unit 10,20/05/2023 5:03:40 PM,,27/04/2023 5:03:40 PM
174,297,to ensure continuously working operator console,12/06/2023 10:06:58 AM,35,28/04/2023 10:06:58 AM
175,298,to control pH in ASU closed loop  ,10/05/2023 10:30:19 AM,34,28/04/2023 10:30:19 AM
176,300,Requistion raised as per ORD-48/1554-2022,29/07/2023 5:29:15 PM,33,29/04/2023 5:29:15 PM
177,301,Requistion raised as per ORD-48/684-2022,29/04/2023 5:43:27 PM,33,29/04/2023 5:43:27 PM
178,302,"Телевизор 55"" Smart 4K TV",1/05/2023 9:12:58 AM,36,1/05/2023 9:12:58 AM
179,303,Anomal sovuq vaqtida ishdan chiqqan priborlarni yangisiga almashtirish,1/06/2023 12:00:00 AM,33,1/05/2023 9:43:38 AM
180,305,"A stamp to ensure the quality, quantity, and safety of products loaded into rail cars",7/05/2023 11:58:49 AM,34,1/05/2023 11:58:49 AM
181,308,Modification of  gas cylinders  and technical examination ,1/05/2023 3:07:53 PM,33,1/05/2023 3:07:53 PM
182,311,Для оптимизации графика отбора проб,2/05/2023 8:50:26 AM,35,2/05/2023 8:50:26 AM
183,312,Для оптимизации графика отбора проб,2/05/2023 8:57:36 AM,,2/05/2023 8:57:36 AM
184,314,Для оптимизации графика отбора проб,2/05/2023 9:09:51 AM,35,2/05/2023 9:09:51 AM
185,315,Для оптимизации графика отбора проб,2/05/2023 9:17:45 AM,35,2/05/2023 9:17:45 AM
186,316,Preventetive Maintenance for Electrical equipments,2/06/2023 10:40:50 AM,33,2/05/2023 10:40:50 AM
187,317,to reduce the consumption of electricity from the network for Uzbekistan GTL ,16/06/2023 10:06:33 AM,35,3/05/2023 10:06:33 AM
188,318,Contract signing with JSC UzGasTrade regarding providing pipeline gas for 2023 ,3/05/2023 12:16:59 PM,34,3/05/2023 12:16:59 PM
189,319,"Signing an agreement with ""BNQIZ"" LLC for the purpose of responsible storage of GTL products",3/05/2023 3:39:14 PM,41,3/05/2023 3:39:14 PM
190,323," Услуга ""Разработка норм эксплуатационного пробега автошин""",17/05/2023 12:00:00 AM,34,3/05/2023 4:44:39 PM
191,325,замена и опломбировка прибора учета электроэнергии ,4/05/2023 10:56:17 AM,36,4/05/2023 10:56:17 AM
192,327,Оказание услуг по выработке GTL дизеля со стороны БНПЗ,4/05/2023 12:45:38 PM,36,4/05/2023 12:45:38 PM
193,328,Emergency Spare parts for Invertors of ABB VSD panels,1/07/2023 3:12:24 PM,33,4/05/2023 3:12:24 PM
194,329,,4/05/2023 3:23:03 PM,39,4/05/2023 3:23:03 PM
195,330,,4/05/2023 3:39:53 PM,,4/05/2023 3:39:53 PM
196,335,Zavod markaziy Laboratoriyasida tahlillar o'tkazish uchun,5/05/2023 11:15:54 AM,40,5/05/2023 11:15:54 AM
197,338,Tibbiy sug'urta ,5/06/2023 4:15:49 PM,36,5/05/2023 4:15:49 PM
198,339,Tibbiy sug'urta ,5/06/2023 4:20:54 PM,36,5/05/2023 4:20:54 PM
199,342,Zavod markaziy Laboratoriyasida tahlillar o'tkazish uchun,8/05/2023 11:55:06 AM,35,8/05/2023 11:55:06 AM
200,343,Zavod markaziy Laboratoriyasida tahlillar o'tkazish uchun,8/05/2023 11:58:03 AM,35,8/05/2023 11:58:03 AM
201,344,Zavod markaziy Laboratoriyasida tahlillar o'tkazish uchun,8/05/2023 11:59:17 AM,35,8/05/2023 11:59:17 AM
202,345,Zavod markaziy Laboratoriyasida tahlillar o'tkazish uchun,29/05/2023 12:00:34 PM,40,8/05/2023 12:00:34 PM
203,348,Zavod markaziy Laboratoriyasida tahlillar o'tkazish uchun,22/05/2023 12:05:19 PM,40,8/05/2023 12:05:19 PM
204,350,Ер участкасининг (Завод худуди) геодезик ўлчов натижасида топографик хариталарини тайёрлаш,10/05/2023 9:16:28 AM,35,10/05/2023 9:16:28 AM
205,352,Drinking water supply and sewage system materials,12/06/2023 2:56:47 PM,33,11/05/2023 2:56:47 PM
206,351,1 dona o'lchov  vositasi (sekundomer) ni kalibrovkadan o'tkazish uchun UzMMI DM bilan shartnoma qilish,11/05/2023 3:01:42 PM,35,11/05/2023 3:01:42 PM
207,354,Providing certificate of origins for semi-synthtetic diesel that is going to be exported ,11/05/2023 4:37:17 PM,36,11/05/2023 4:37:17 PM
208,355,"Cleaning service of railway tanks by ""Бухарский Региональный Железнодорожный Узел""",11/05/2023 4:46:01 PM,36,11/05/2023 4:46:01 PM
209,357,to reduce the consumption of electricity from the network for Uzbekistan GTL ,11/07/2023 12:00:00 AM,35,12/05/2023 9:38:39 AM
210,358,to reduce the consumption of electricity from the network for Uzbekistan GTL ,16/06/2023 12:00:00 AM,35,12/05/2023 10:44:53 AM
211,359,"On May 18, 19 and 20, it is planned to distribute pilaf",12/05/2023 3:55:32 PM,36,12/05/2023 3:55:32 PM
212,360,License for 1C:Enterprise (лицензия на 1C:Предприятие),12/05/2023 5:18:40 PM,36,12/05/2023 5:18:40 PM
213,361," Услуга ""Утилизации Автомобильных шин""",12/05/2023 5:25:05 PM,34,12/05/2023 5:25:05 PM
214,362," Услуга ""Утилизации Аккумуляторных батарей"".",12/05/2023 5:32:27 PM,34,12/05/2023 5:32:27 PM
215,363,solar water heater 200L ,15/05/2023 9:11:12 AM,35,15/05/2023 9:11:12 AM
216,364,solar water heater 100L ,15/05/2023 9:40:39 AM,35,15/05/2023 9:40:39 AM
217,365,to keep calcium level about 50~150 ppm in Cooling Water system.,23/05/2023 10:03:45 AM,34,15/05/2023 10:03:45 AM
218,367,Disposal of Liquid household west from septic tanks ,22/05/2023 10:58:19 AM,36,15/05/2023 10:58:19 AM
219,368,Demercurization of burned-out florescent lamps ,22/05/2023 11:05:41 AM,36,15/05/2023 11:05:41 AM
220,370,to reduce the consumption of electricity from the network for Uzbekistan GTL ,15/08/2023 2:16:48 PM,35,15/05/2023 2:16:48 PM
221,372,"May 19th, 2023 catering to 1000 standard gest and 300 VIP gest. This service should be performed as per Order N1 of ""Uzbekneftgas"" JSC",15/05/2023 4:43:10 PM,36,15/05/2023 4:43:10 PM
222,371,Заявка на закупку средств для ухода за цветами,15/05/2023 2:51:18 PM,36,31/05/2023 2:51:18 PM
223,373,на услуги комплексной съемки сферических панорам в формате 360° градусов с последующим монтажом «Виртуальная выставка» для ООО «Uzbekistan GTL» ,15/05/2023 5:13:50 PM,36,15/05/2023 5:13:50 PM
224,374,On implementation of biological diversity monitoring ,23/05/2023 9:00:40 AM,36,16/05/2023 9:00:40 AM
225,375,Заявка на закупку средств для ухода за цветами,16/05/2023 9:18:45 AM,,31/05/2023 9:18:45 AM
226,376,LED tube lamps are intended to replace existing lighting lamps at the facilities of Uzbekistan GTL LLC.,18/08/2023 9:27:37 AM,35,16/05/2023 9:27:37 AM
227,377,FILTER ELEMENT for 120-XF-003-XF-02A/B/C,16/05/2023 4:48:42 PM,33,16/05/2023 4:48:42 PM
228,378,Размещение участников форума лицензиаров в отеле в Самарканде,16/05/2023 5:11:24 PM,36,16/05/2023 5:11:24 PM
229,380,размещение участников форума лицензиаров в Самарканде,16/05/2023 5:34:26 PM,36,16/05/2023 5:34:26 PM
230,381,to reduce the consumption of electricity from the network for Uzbekistan GTL ,28/08/2023 8:40:08 AM,35,17/05/2023 8:40:08 AM
231,382,LED tube lamps are intended to replace existing lighting lamps at the facilities of Uzbekistan GTL LLC.,30/06/2023 8:45:41 AM,35,17/05/2023 8:45:41 AM
232,385,To make it automatic for sulfuric acid loading into the cooling tower basin,17/06/2023 11:32:35 AM,34,17/05/2023 11:32:35 AM
233,386,,17/05/2023 2:37:13 PM,35,17/05/2023 2:37:13 PM
234,388,,17/05/2023 2:54:52 PM,,17/05/2023 2:54:52 PM
235,387,Заявка на закупку логотипа UNG для административного бытового комплекса,17/05/2023 2:50:11 PM,36,25/05/2023 2:50:11 PM
236,391,Для составления договора с Пробирной палатой для оказания услуг по обнаружению драг металла ,17/05/2023 5:08:05 PM,35,17/05/2023 5:08:05 PM
237,392,,18/05/2023 11:43:31 AM,36,18/05/2023 11:43:31 AM
238,393,,18/05/2023 11:50:51 AM,,18/05/2023 11:50:51 AM
239,394,,18/05/2023 11:55:37 AM,36,18/05/2023 11:55:37 AM
240,397,Средства гигиены для гостей вахтового посёлка (форум Sasol),22/05/2023 10:56:00 AM,39,19/05/2023 10:56:00 AM
241,398,In order to purchase office fan ,29/05/2023 2:37:34 PM,39,19/05/2023 2:37:34 PM
242,400,essential for welding activity ,24/05/2023 3:12:52 PM,55,19/05/2023 3:12:52 PM
243,402,Yo'l belgilari va suniy notekislik ,26/05/2023 4:11:30 PM,71,19/05/2023 4:11:30 PM
244,404,Средства гигиены для гостей вахтового посёлка,23/05/2023 11:25:47 AM,39,20/05/2023 11:25:47 AM
245,407,dilivery spare part under contract UZGT,24/05/2023 8:11:46 AM,,24/05/2023 8:11:46 AM
246,411,Долгосрочный контракт с гостиницей в Ташкентской области или Ташкенте ,26/05/2023 12:43:09 PM,39,24/05/2023 12:43:09 PM
247,413,,24/05/2023 2:55:58 PM,,24/05/2023 2:55:58 PM
248,415,solar water heater 100L ,26/06/2023 3:04:23 PM,,24/05/2023 3:04:23 PM
249,420,"Услуга на ""Поставку и монтаж полиграфических материалов для автомашин""",24/05/2023 4:33:35 PM,51,24/05/2023 4:33:35 PM
250,421,"1) Знак аварийной остановки-переносной знак, представляющий собой световозвращающий красный треугольник, выполненный из стеклопластика или других материалов. предупреждающий водителей о неисправности автомобиля находящегося за знаком в ночное время суток.",24/05/2023 4:44:59 PM,51,24/05/2023 4:44:59 PM
251,422,"Аптечка категории ""В""- для автомобилей категории (М1) легковые автомобили. Аптечки категории ""С"" для автомобилей категории (N1, N2, N3) грузовые автомобили всех типов. Аптечки категории ""D"" для автомобилей (М2, М3) микроавтобусы, автобусы.",24/05/2023 4:47:35 PM,51,24/05/2023 4:47:35 PM
252,423,"Переносные порошковые огнетушители, используемые для тушения твердых веществ, жидкостей и газов, а также электропроводов под напряжением. Для устранения очагов возгорания на транспортных средствах. ОП-2, 2-х литровые, ОП- 5, 5 литровые, ОП -10, 10 литровы",24/05/2023 5:19:27 PM,51,24/05/2023 5:19:27 PM
253,424,СИЗ для сотрудников отдела,25/05/2023 10:03:18 AM,,25/05/2023 10:03:18 AM
