Contact ID,Parent Contact ID,First Name,Last Name,Comment,Department ID,Address1,Address2,City,State,Post Code,Country,Home Phone,Work Phone,Mobile Phone,Fax,Email,Web Address,Is Primary Contact,ABN,Currency Type ID,Tax ID,Tax Exemption Number,Is Tax Exempt,Account Code ID,Payment Term ID,Customer Discount Percentage,Catalogued Mark Up Ceiling,Non Catalogued Mark Up Ceiling,Catalogued Markup Percentage,Non Catalogued Mark Up Percentage,Employee Number,Working Day Hours,Employed Date Time,Terminated Date Time,Expected Freight Price,Customer Type ID,Contact Image,Contact Type Name,Is Active,Created By Contact ID,Created Date Time,Modified By Contact ID,Modified Date Time,Billing Address1,Billing Address2,Billing City,Billing State,Billing Country,Billing Post Code,Added Date Time,IRDNumber,Contact Signature,Custom Control File1ID
600,0,Sardor,Xudayberdiyev ,,50,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,,,,,,,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:26 PM,1687,14/10/2022 10:47:32 AM,,,,,,,13/10/2022 11:59:00 PM,,,
601,0,Safar,Xolmanov ,,50,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,,,,,,,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:26 PM,1687,14/10/2022 10:49:15 AM,,,,,,,15/03/2022 4:27:26 PM,,,
602,0,Olim,Alikulov,,,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,12204,,,olim.alikulov@uzgtl.com,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:26 PM,1465,13/10/2022 11:28:25 AM,,,,,,,15/03/2022 4:27:26 PM,,,
603,0,Habib,Aminov,,42,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,,,,,,Registration No. 008600-08,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:26 PM,1465,8/11/2022 12:12:55 PM,,,,,,,15/03/2022 4:27:26 PM,,,
604,0,Zakhriddin,Almurodov,,,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,12302,,,zakhriddin.almurodov@uzgtl.com,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:26 PM,1,15/03/2022 4:27:26 PM,,,,,,,15/03/2022 4:27:26 PM,,,
605,0,Sherzod,Qamriddinov,,50,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,,,,,,,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:26 PM,1687,14/10/2022 10:58:09 AM,,,,,,,13/10/2022 11:59:00 PM,,,
606,0,Azizjon,Rasulov ,,50,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,,,,,,,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:26 PM,1687,14/10/2022 10:59:35 AM,,,,,,,13/10/2022 11:59:00 PM,,,
607,0,UNGM,DR,,41,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,,,,,,Registration No. 008600-132,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:26 PM,1465,10/11/2022 12:21:35 PM,,,,,,,15/03/2022 4:27:26 PM,,,
608,0,Abbos,Atakulov Urolovich,,,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,998943335505,,abbos.atakulov@uzgtl.com,,,Registration No. 008600-57,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:27 PM,1687,11/10/2023 9:42:49 AM,,,,,,,15/03/2022 4:27:27 PM,,,
609,0,Saydulla,Shoquchqorov ,,50,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,,,,,,,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:27 PM,1687,14/10/2022 11:01:04 AM,,,,,,,13/10/2022 11:59:00 PM,,,
610,0,Jakhongir,Bakhodirov,,,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,12303,,,jakhongir.bakhodirov@uzgtl.com,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:27 PM,1,15/03/2022 4:27:27 PM,,,,,,,15/03/2022 4:27:27 PM,,,
611,0,Tulkun,Bakiev,,,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,13309,,,tulkun.bakiev@uzgtl.com,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:27 PM,1,15/03/2022 4:27:27 PM,,,,,,,15/03/2022 4:27:27 PM,,,
612,0,Komoloddin,Baratov,,,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,13308,,,komoloddin.baratov@uzgtl.com,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:27 PM,1,15/03/2022 4:27:27 PM,,,,,,,15/03/2022 4:27:27 PM,,,
613,0,Bekzod,Bazarov,,,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,12401,,,bekzod.bazarov@uzgtl.com,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:27 PM,1,15/03/2022 4:27:27 PM,,,,,,,15/03/2022 4:27:27 PM,,,
614,0,Doston,Begliev,,,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,12304,,,doston.begliev@uzgtl.com,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:27 PM,1,15/03/2022 4:27:27 PM,,,,,,,15/03/2022 4:27:27 PM,,,
615,0,Orif,Bekmirzaev,,,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,12106,,,orif.bekmirzaev@uzgtl.com,,,Registration No. 008600-106,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:27 PM,1,7/04/2022 4:40:09 PM,,,,,,,15/03/2022 4:27:27 PM,,,
616,0,Jurabek,Berdialiev ,,43,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,12415,,,jurabek.berdialiev@uzgtl.com,,,Registration No. 008600-69,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:27 PM,1460,6/01/2023 10:01:36 AM,,,,,,,15/03/2022 4:27:27 PM,,,
617,0,To'lqin,Berdiyev Omonovich,,41,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,12002,,,tulkin.berdiev@uzgtl.com,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:27 PM,1687,11/10/2023 9:44:48 AM,,,,,,,15/03/2022 4:27:27 PM,,,
618,0,Akbar,Soatov ,,50,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,,,,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:27 PM,1687,14/10/2022 11:01:57 AM,,,,,,,13/10/2022 11:59:00 PM,,,
619,0,Avazbek,Boyqobilov Nazaraliyevich,,,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,12208,,,avazbek.boykobilov@uzgtl.com,,,Registration No. 008600-18,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:27 PM,1687,11/10/2023 9:48:00 AM,,,,,,,15/03/2022 4:27:27 PM,,,
620,0,Nurmukhammad,Boymatov,,,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,12011,,,nurmukhammad.boymatov@uzgtl.com,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:27 PM,1,15/03/2022 4:27:27 PM,,,,,,,15/03/2022 4:27:27 PM,,,
621,0,Khumoyun,Boymirzaev,,,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,12425,,,khumoyun.boymirzaev@uzgtl.com,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:27 PM,1,15/03/2022 4:27:27 PM,,,,,,,15/03/2022 4:27:27 PM,,,
622,0,Bobir,Boymuradov,,,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,12405,,,bobir.boymuradov@uzgtl.com,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:27 PM,1,15/03/2022 4:27:27 PM,,,,,,,15/03/2022 4:27:27 PM,,,
623,0,Sardorbek,Boytemirov Shavkat o'g'li,,17,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,90 324 53 22,,Sardorbek.Boytemirov@uzgtl.com,,,Registration No. 008600-42,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:27 PM,1687,11/10/2023 9:48:17 AM,,,,,,,15/03/2022 4:27:27 PM,,,
624,0,Daler,Bozorov,,68,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,998997077422,,daler.bozorov@uzgtl.com,,,Registration No. 008600-60,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:28 PM,1687,26/08/2023 2:41:08 PM,,,,,,,15/03/2022 4:27:28 PM,,,
625,0,Dilshod,Bozorov,,42,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,998993317931,,dilshod.bozorov@uzgtl.com,,,Registration No. 008600-161,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:28 PM,1465,24/09/2022 4:52:15 PM,,,,,,,15/03/2022 4:27:28 PM,,,
626,0,Elbek,Bozorov Abdukarimovich,,9,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,998945291619,,elbek.bozorov@uzgtl.com,,,Registration No. 008600-62,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:28 PM,1687,11/10/2023 9:48:47 AM,,,,,,,15/03/2022 4:27:28 PM,,,
627,0,Kamoliddin,Alovuddinov ,,50,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,,,,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:28 PM,1687,14/10/2022 11:03:35 AM,,,,,,,13/10/2022 11:59:00 PM,,,
628,0,Oybek,Turopov ,,50,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,,,Oybek.Turopov@uzgtl.com,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:28 PM,1460,20/06/2023 12:26:27 PM,,,,,,,13/10/2022 11:59:00 PM,,,
629,0,Begzod,Buriev,,,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,12305,,,begzod.buriev@uzgtl.com,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:28 PM,1,15/03/2022 4:27:28 PM,,,,,,,15/03/2022 4:27:28 PM,,,
630,0,Shokhrukh,Buriev,,,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,12426,,,shokhrukh.buriev@uzgtl.com,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:28 PM,1,6/04/2022 4:06:11 PM,,,,,,,15/03/2022 4:27:28 PM,,,
631,0,Dilnur,Choriev,,,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,12714,,,dilnur.choriev@uzgtl.com,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:28 PM,1,15/03/2022 4:27:28 PM,,,,,,,15/03/2022 4:27:28 PM,,,
632,0,Shoxrux,Shodiev,,17,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,12113,,,Shokhrukh.Shodiev@uzgtl.com,,,Registration No. 008600-155,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:28 PM,1465,24/09/2022 2:46:58 PM,,,,,,,15/03/2022 4:27:28 PM,,,
633,0,Arslonbek,Qurbonov,,34,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,12001,,,,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:28 PM,1465,12/10/2022 5:15:12 PM,,,,,,,15/03/2022 4:27:28 PM,,,
634,0,Shuhrat,Ulashev ,,50,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,,,,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:28 PM,1687,14/10/2022 11:08:15 AM,,,,,,,13/10/2022 11:59:00 PM,,,
635,0,Hamza,Yo`ldoshev ,,50,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,,,,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:28 PM,1687,14/10/2022 11:09:35 AM,,,,,,,13/10/2022 11:59:00 PM,,,
636,0,Davlat,Daynovov Abduhakim o'g'li,,13,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,998999921118,,davlat.daynovov@uzgtl.com,,,Registration No. 008600-83,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:28 PM,1687,11/10/2023 9:52:05 AM,,,,,,,15/03/2022 4:27:28 PM,,,
637,0,Dilshod,Djuraev,,,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,13304,,,dilshod.djuraev@uzgtl.com,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:28 PM,1,15/03/2022 4:27:28 PM,,,,,,,15/03/2022 4:27:28 PM,,,
638,0,Nodirbek,Dusmatov Xusanboyevich,,18,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,998909696049,,nodirbek.dusmatov@uzgtl.com,,,Registration No. 008600-71,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:28 PM,1687,11/10/2023 9:53:07 AM,,,,,,,15/03/2022 4:27:28 PM,,,
639,0,Umar,Dusnazarov Doniyor o'g'li,,17,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,998996658000,,umar.dusnazarov@uzgtl.com,,,Registration No. 008600-16,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:29 PM,1687,11/10/2023 9:53:25 AM,,,,,,,15/03/2022 4:27:29 PM,,,
640,0,Khasan,Ergashev,,,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,12713,,,khasan.ergashev@uzgtl.com,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:29 PM,1,15/03/2022 4:27:29 PM,,,,,,,15/03/2022 4:27:29 PM,,,
641,0,Jasur,Erkinov To'lqinjon o'g'li,,11,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,998900020765,,jasur.erkinov@uzgtl.com,,,Registration No. 008600-17,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:29 PM,1687,11/10/2023 9:54:00 AM,,,,,,,15/03/2022 4:27:29 PM,,,
642,0,Kamol,Erniyozov Muhiddin o'g'li,,8,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,998914673434,,kamol.erniyozov@uzgtl.com,,,Registration No. 008600-103,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:29 PM,1687,11/10/2023 9:54:16 AM,,,,,,,15/03/2022 4:27:29 PM,,,
