Priority Matrix Answer ID,Priority Matrix Environmental Description,Environmental Risk Score,Priority Matrix Production Description,Production Risk Score,Priority Matrix Repair Cost Description,Repair Cost Risk Score,Priority Matrix Safety Description,Safety Risk Score
11,(D) Minor - Uz GTL Secondary Area Impact,10,"(A) Catastophic - Massive Impact Curtailment of Production, Full Site Outage >$30MM, 100% Loss",25,(D) Minor - Repair <$50k,10,(A) Catastrophic - 1/more fatalities on-site or 1/more serious injury to a member of the public,25
12,(D) Minor - Uz GTL Secondary Area Impact,10,"(A) Catastophic - Massive Impact Curtailment of Production, Full Site Outage >$30MM, 100% Loss",25,(D) Minor - Repair <$50k,10,(A) Catastrophic - 1/more fatalities on-site or 1/more serious injury to a member of the public,25
13,(D) Minor - Uz GTL Secondary Area Impact,10,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(B) Major - Repair <$500k,20,(A) Catastrophic - 1/more fatalities on-site or 1/more serious injury to a member of the public,25
14,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
15,(D) Minor - Uz GTL Secondary Area Impact,10,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(B) Major - Repair <$500k,20,(A) Catastrophic - 1/more fatalities on-site or 1/more serious injury to a member of the public,25
16,(D) Minor - Uz GTL Secondary Area Impact,10,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
17,(E) Insignificant - Uz GTL Primary Area Impact,5,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(E) Insignificant - Repair <$5k,5,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
18,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
19,(D) Minor - Uz GTL Secondary Area Impact,10,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
20,(D) Minor - Uz GTL Secondary Area Impact,10,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(E) Insignificant - Repair <$5k,5,(B) Major - One or more serious injury or Permanent disability,20
21,(D) Minor - Uz GTL Secondary Area Impact,10,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(E) Insignificant - Repair <$5k,5,(B) Major - One or more serious injury or Permanent disability,20
22,(C) Moderate - Reversible Impact,15,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
23,(C) Moderate - Reversible Impact,15,"(A) Catastophic - Massive Impact Curtailment of Production, Full Site Outage >$30MM, 100% Loss",25,(A) Catastrophic - Repair Over $500k,25,(B) Major - One or more serious injury or Permanent disability,20
24,(C) Moderate - Reversible Impact,15,"(A) Catastophic - Massive Impact Curtailment of Production, Full Site Outage >$30MM, 100% Loss",25,(A) Catastrophic - Repair Over $500k,25,(B) Major - One or more serious injury or Permanent disability,20
25,,0,,0,,0,,0
26,,0,,0,,0,,0
27,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
28,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
29,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
30,(B) Major - Long-term Impact,20,"(B) Major - Major Impact Forced shutdown of 1 Train <$30MM, 50% Loss",20,(A) Catastrophic - Repair Over $500k,25,(A) Catastrophic - 1/more fatalities on-site or 1/more serious injury to a member of the public,25
31,(B) Major - Long-term Impact,20,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
32,(B) Major - Long-term Impact,20,"(B) Major - Major Impact Forced shutdown of 1 Train <$30MM, 50% Loss",20,(A) Catastrophic - Repair Over $500k,25,(A) Catastrophic - 1/more fatalities on-site or 1/more serious injury to a member of the public,25
33,(D) Minor - Uz GTL Secondary Area Impact,10,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
34,(E) Insignificant - Uz GTL Primary Area Impact,5,"(A) Catastophic - Massive Impact Curtailment of Production, Full Site Outage >$30MM, 100% Loss",25,(E) Insignificant - Repair <$5k,5,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
35,(E) Insignificant - Uz GTL Primary Area Impact,5,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
36,(E) Insignificant - Uz GTL Primary Area Impact,5,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
37,(E) Insignificant - Uz GTL Primary Area Impact,5,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
38,,0,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(D) Minor - Repair <$50k,10,(C) Moderate - 1/more lost work day case due to work related injury.,15
39,(D) Minor - Uz GTL Secondary Area Impact,10,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(C) Moderate -Repair <$150k,15,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
40,(E) Insignificant - Uz GTL Primary Area Impact,5,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(C) Moderate -Repair <$150k,15,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
41,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
42,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
43,(D) Minor - Uz GTL Secondary Area Impact,10,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(B) Major - Repair <$500k,20,(A) Catastrophic - 1/more fatalities on-site or 1/more serious injury to a member of the public,25
44,(B) Major - Long-term Impact,20,"(B) Major - Major Impact Forced shutdown of 1 Train <$30MM, 50% Loss",20,(B) Major - Repair <$500k,20,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
45,(E) Insignificant - Uz GTL Primary Area Impact,5,"(A) Catastophic - Massive Impact Curtailment of Production, Full Site Outage >$30MM, 100% Loss",25,(E) Insignificant - Repair <$5k,5,(B) Major - One or more serious injury or Permanent disability,20
46,(E) Insignificant - Uz GTL Primary Area Impact,5,"(A) Catastophic - Massive Impact Curtailment of Production, Full Site Outage >$30MM, 100% Loss",25,(E) Insignificant - Repair <$5k,5,(B) Major - One or more serious injury or Permanent disability,20
47,(E) Insignificant - Uz GTL Primary Area Impact,5,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
48,(C) Moderate - Reversible Impact,15,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(C) Moderate - 1/more lost work day case due to work related injury.,15
49,(D) Minor - Uz GTL Secondary Area Impact,10,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(B) Major - Repair <$500k,20,(C) Moderate - 1/more lost work day case due to work related injury.,15
50,(D) Minor - Uz GTL Secondary Area Impact,10,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
51,(E) Insignificant - Uz GTL Primary Area Impact,5,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
52,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
53,(D) Minor - Uz GTL Secondary Area Impact,10,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(B) Major - Repair <$500k,20,(C) Moderate - 1/more lost work day case due to work related injury.,15
54,(C) Moderate - Reversible Impact,15,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,,0,(B) Major - One or more serious injury or Permanent disability,20
55,(C) Moderate - Reversible Impact,15,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(C) Moderate - 1/more lost work day case due to work related injury.,15
56,(D) Minor - Uz GTL Secondary Area Impact,10,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
57,,0,,0,,0,,0
58,,0,,0,,0,,0
59,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(C) Moderate - 1/more lost work day case due to work related injury.,15
60,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(C) Moderate - 1/more lost work day case due to work related injury.,15
61,(D) Minor - Uz GTL Secondary Area Impact,10,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
62,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
63,,0,,0,,0,,0
64,,0,,0,,0,,0
65,,0,,0,,0,,0
66,,0,,0,,0,,0
67,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
68,,0,,0,,0,,0
69,,0,,0,,0,,0
70,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
71,,0,,0,,0,,0
72,,0,,0,,0,,0
73,,0,,0,,0,,0
74,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
75,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
76,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
77,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
78,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
79,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
80,(B) Major - Long-term Impact,20,"(A) Catastophic - Massive Impact Curtailment of Production, Full Site Outage >$30MM, 100% Loss",25,(B) Major - Repair <$500k,20,(A) Catastrophic - 1/more fatalities on-site or 1/more serious injury to a member of the public,25
81,(B) Major - Long-term Impact,20,"(A) Catastophic - Massive Impact Curtailment of Production, Full Site Outage >$30MM, 100% Loss",25,(B) Major - Repair <$500k,20,(A) Catastrophic - 1/more fatalities on-site or 1/more serious injury to a member of the public,25
82,,0,,0,,0,,0
83,,0,,0,,0,,0
84,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
85,(C) Moderate - Reversible Impact,15,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,,0,(B) Major - One or more serious injury or Permanent disability,20
86,,0,,0,,0,,0
87,,0,,0,,0,,0
88,,0,,0,,0,,0
89,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
90,,0,,0,,0,,0
91,,0,,0,,0,,0
92,,0,,0,,0,,0
93,,0,,0,,0,,0
94,(C) Moderate - Reversible Impact,15,"(B) Major - Major Impact Forced shutdown of 1 Train <$30MM, 50% Loss",20,(B) Major - Repair <$500k,20,(A) Catastrophic - 1/more fatalities on-site or 1/more serious injury to a member of the public,25
95,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
96,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
97,(B) Major - Long-term Impact,20,"(B) Major - Major Impact Forced shutdown of 1 Train <$30MM, 50% Loss",20,(B) Major - Repair <$500k,20,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
98,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
99,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
100,(C) Moderate - Reversible Impact,15,"(B) Major - Major Impact Forced shutdown of 1 Train <$30MM, 50% Loss",20,(B) Major - Repair <$500k,20,(A) Catastrophic - 1/more fatalities on-site or 1/more serious injury to a member of the public,25
101,,0,,0,,0,,0
102,,0,,0,,0,,0
103,(E) Insignificant - Uz GTL Primary Area Impact,5,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
104,,0,,0,,0,,0
105,,0,,0,,0,,0
106,,0,,0,,0,,0
107,,0,,0,,0,,0
108,(C) Moderate - Reversible Impact,15,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,,0,(B) Major - One or more serious injury or Permanent disability,20
109,(C) Moderate - Reversible Impact,15,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,,0,(B) Major - One or more serious injury or Permanent disability,20
110,,0,,0,,0,,0
111,,0,,0,,0,,0
112,,0,,0,,0,,0
113,,0,,0,,0,,0
114,(D) Minor - Uz GTL Secondary Area Impact,10,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
115,(E) Insignificant - Uz GTL Primary Area Impact,5,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
116,,0,,0,,0,,0
117,,0,,0,,0,,0
118,,0,,0,,0,,0
119,(E) Insignificant - Uz GTL Primary Area Impact,5,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(E) Insignificant - Repair <$5k,5,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
120,,0,,0,,0,,0
121,,0,,0,,0,,0
122,,0,,0,,0,,0
123,(D) Minor - Uz GTL Secondary Area Impact,10,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(D) Minor - Repair <$50k,10,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
124,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
125,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
126,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
127,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
128,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
129,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
130,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
131,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
132,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
133,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
134,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
135,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
136,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
137,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
138,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
139,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
140,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
141,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
142,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
143,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
144,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
145,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
146,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
147,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
148,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
149,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
150,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
151,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
152,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
153,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
154,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
155,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
156,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
